id	f0	f1	y
0	41	14	0
1	42	63	1
2	14	26	0
3	79	77	0
4	43	43	1
5	52	93	0
6	27	31	1
7	33	93	0
8	34	14	0
9	36	96	0
10	16	31	0
11	72	36	1
12	59	70	1
13	87	50	0
14	19	83	0
15	99	15	0
16	27	13	0
17	84	69	0
18	65	43	1
19	74	83	0
20	40	93	0
21	38	17	0
22	90	3	0
23	24	32	0
24	100	89	0
25	23	36	0
26	78	25	0
27	38	54	1
28	84	13	0
29	67	46	1
30	3	90	0
31	98	11	0
32	2	37	0
33	19	97	0
34	21	60	0
35	19	4	0
36	24	17	0
37	3	80	0
38	77	23	0
39	99	92	0
40	54	76	0
41	97	100	0
42	39	78	0
43	27	69	1
44	99	72	0
45	49	68	1
46	36	3	0
47	49	63	1
48	38	38	1
49	94	58	0
50	0	22	0
51	22	33	0
52	17	87	0
53	51	84	0
54	100	100	0
55	76	23	0
56	90	28	0
57	75	6	0
58	31	66	1
59	83	67	0
60	30	54	1
61	22	52	0
62	36	75	0
63	8	27	0
64	0	18	0
65	15	72	0
66	10	83	0
67	56	5	0
68	92	24	0
69	95	13	0
70	21	74	0
71	44	30	1
72	45	59	1
73	58	24	0
74	14	97	0
75	19	63	0
76	81	56	0
77	8	57	0
78	2	39	0
79	6	16	0
80	36	55	1
81	15	57	0
82	11	0	0
83	71	33	1
84	66	48	1
85	9	79	0
86	27	68	1
87	100	11	0
88	17	28	0
89	96	15	0
90	66	57	1
91	98	24	0
92	46	26	1
93	65	3	0
94	67	66	1
95	56	75	0
96	62	55	1
97	41	99	0
98	43	44	1
99	96	37	0
100	5	100	0
101	60	62	1
102	81	97	0
103	13	5	0
104	8	40	0
105	36	37	1
106	30	64	1
107	81	49	0
108	58	9	0
109	11	78	0
110	41	91	0
111	50	68	1
112	83	40	0
113	39	95	0
114	58	15	0
115	57	37	1
116	74	83	0
117	75	33	0
118	60	58	1
119	76	29	0
120	41	55	1
121	51	82	0
122	78	68	0
123	39	53	1
124	7	69	0
125	79	12	0
126	20	13	0
127	72	20	0
128	14	20	0
129	18	95	0
130	71	81	0
131	15	40	0
132	28	27	1
133	14	82	0
134	95	27	0
135	21	69	0
136	41	60	1
137	59	56	1
138	25	35	0
139	52	54	1
140	95	52	0
141	86	73	0
142	95	98	0
143	76	27	0
144	55	42	1
145	94	68	0
146	21	10	0
147	54	39	1
148	56	56	1
149	73	26	1
150	96	35	0
151	18	15	0
152	71	65	1
153	86	80	0
154	40	34	1
155	67	88	0
156	15	30	0
157	90	77	0
158	15	71	0
159	43	35	1
160	92	3	0
161	36	23	0
162	20	91	0
163	50	71	1
164	81	12	0
165	74	27	1
166	63	15	0
167	67	35	1
168	75	48	0
